1-0-1-2: 2-0-0-1, True, tested images: 14, cex=False, ncex=1, covered=103, not_covered=8, d=0.144261106478, 5:5-5
1-0-1-3: 2-0-0-1, True, tested images: 2, cex=False, ncex=1, covered=104, not_covered=8, d=0.140738986388, 3:3-3
1-0-1-4: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=105, not_covered=8, d=0.155693025523, 0:0-0
1-0-1-5: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=106, not_covered=8, d=0.101506327037, 0:0-0
1-0-1-6: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=107, not_covered=8, d=0.125151191839, 6:6-6
1-0-1-7: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=108, not_covered=8, d=0.191557250307, 3:3-3
1-0-1-8: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=109, not_covered=8, d=0.127019131639, 4:4-4
1-0-1-9: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=110, not_covered=8, d=0.0133498205595, 5:5-5
1-0-1-10: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=111, not_covered=8, d=0.0810131606039, 4:4-4
1-0-1-11: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=112, not_covered=8, d=0.0993407498093, 8:8-8
1-0-2-2: 2-0-0-1, True, tested images: 12, cex=False, ncex=1, covered=113, not_covered=8, d=0.0998072079804, 3:3-3
1-0-2-3: 2-0-0-1, True, tested images: 5, cex=False, ncex=1, covered=114, not_covered=8, d=0.0706847741409, 3:3-3
1-0-2-4: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=115, not_covered=8, d=0.114444045534, 2:2-2
1-0-2-5: 2-0-0-1, True, tested images: 9, cex=False, ncex=1, covered=116, not_covered=8, d=0.0428534905146, 3:3-3
1-0-2-6: 2-0-0-1, True, tested images: 2, cex=False, ncex=1, covered=117, not_covered=8, d=0.0925571650535, 6:6-6
1-0-2-7: 2-0-0-1, True, tested images: 2, cex=False, ncex=1, covered=118, not_covered=8, d=0.0535660261846, 0:0-0
1-0-2-8: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=119, not_covered=8, d=0.0473077486218, 0:0-0
1-0-2-9: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=120, not_covered=8, d=0.0590915826969, 5:5-5
1-0-2-10: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=121, not_covered=8, d=0.0859038430371, 9:9-9
1-0-2-11: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=122, not_covered=8, d=0.0639111025126, 0:0-0
1-0-3-2: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=123, not_covered=8, d=0.134071534221, 3:3-3
1-0-3-3: 2-0-0-1, True, tested images: 20, cex=False, ncex=1, covered=124, not_covered=8, d=0.0533959100245, 3:3-3
1-0-3-4: 2-0-0-1, True, tested images: 6, cex=False, ncex=1, covered=125, not_covered=8, d=0.0954935692673, 4:4-4
1-0-3-5: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=126, not_covered=8, d=0.0726424211423, 2:2-2
1-0-3-6: 2-0-0-1, True, tested images: 13, cex=False, ncex=1, covered=127, not_covered=8, d=0.0177365983228, 2:2-2
1-0-3-7: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=128, not_covered=8, d=0.0143246133927, 8:8-8
1-0-3-8: 2-0-0-1, True, tested images: 3, cex=False, ncex=1, covered=129, not_covered=8, d=0.0882987542959, 0:0-0
1-0-3-9: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=130, not_covered=8, d=0.120669761904, 9:9-9
1-0-3-10: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=131, not_covered=8, d=0.0355198659981, 7:7-7
1-0-3-11: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=132, not_covered=8, d=0.101120784025, 4:4-4
1-0-4-2: 2-0-0-1, True, tested images: 19, cex=False, ncex=1, covered=133, not_covered=8, d=0.0498415005896, 3:3-3
1-0-4-3: 2-0-0-1, True, tested images: 29, cex=False, ncex=1, covered=134, not_covered=8, d=0.0189648326307, 6:6-6
1-0-4-4: 2-0-0-1, True, tested images: 9, cex=False, ncex=1, covered=135, not_covered=8, d=0.0208933917747, 0:0-0
1-0-4-5: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=136, not_covered=8, d=0.175589887285, 3:3-3
1-0-4-6: 2-0-0-1, True, tested images: 6, cex=False, ncex=1, covered=137, not_covered=8, d=0.00248150705011, 7:7-7
1-0-4-7: 2-0-0-1, True, tested images: 6, cex=False, ncex=1, covered=138, not_covered=8, d=0.037810774639, 9:9-9
1-0-4-8: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=139, not_covered=8, d=0.0354641015595, 6:6-6
1-0-4-9: 2-0-0-1, True, tested images: 10, cex=False, ncex=1, covered=140, not_covered=8, d=0.0141373864423, 8:8-8
1-0-4-10: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=141, not_covered=8, d=0.250444442276, 4:4-4
1-0-4-11: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=142, not_covered=8, d=0.107594326926, 9:9-9
1-0-5-2: 2-0-0-1, True, tested images: 7, cex=False, ncex=1, covered=143, not_covered=8, d=0.15539463533, 2:2-2
1-0-5-3: 2-0-0-1, True, tested images: 2, cex=False, ncex=1, covered=144, not_covered=8, d=0.0569068789649, 7:7-7
1-0-5-4: 2-0-0-1, True, tested images: 7, cex=False, ncex=1, covered=145, not_covered=8, d=0.0193411009746, 7:7-7
1-0-5-5: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=146, not_covered=8, d=0.0540979371252, 3:3-3
1-0-5-6: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=147, not_covered=8, d=0.0342846032127, 9:9-9
1-0-5-7: 2-0-0-1, True, tested images: 7, cex=False, ncex=1, covered=148, not_covered=8, d=7.13924407778e-05, 0:0-0
1-0-5-8: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=149, not_covered=8, d=0.117394100954, 4:4-4
1-0-5-9: 2-0-0-1, True, tested images: 9, cex=False, ncex=1, covered=150, not_covered=8, d=0.293154283645, 7:7-7
1-0-5-10: 2-0-0-1, True, tested images: 6, cex=False, ncex=1, covered=151, not_covered=8, d=0.159602355599, 6:6-6
1-0-5-11: 2-0-0-1, True, tested images: 2, cex=False, ncex=1, covered=152, not_covered=8, d=0.0764039165333, 6:6-6
1-0-6-2: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=153, not_covered=8, d=0.0468049788562, 6:6-6
1-0-6-3: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=154, not_covered=8, d=0.00492010664027, 8:8-8
1-0-6-4: 2-0-0-1, True, tested images: 3, cex=False, ncex=1, covered=155, not_covered=8, d=0.000856960577915, 0:0-0
1-0-6-5: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=156, not_covered=8, d=0.216920307905, 7:7-7
1-0-6-6: 2-0-0-1, True, tested images: 5, cex=False, ncex=1, covered=157, not_covered=8, d=0.0101277528083, 3:3-3
1-0-6-7: 2-0-0-1, True, tested images: 5, cex=False, ncex=1, covered=158, not_covered=8, d=0.0120495859213, 0:0-0
1-0-6-8: 2-0-0-1, True, tested images: 8, cex=False, ncex=1, covered=159, not_covered=8, d=0.126871544442, 7:7-7
1-0-6-9: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=160, not_covered=8, d=0.0318008216849, 2:2-2
1-0-6-10: 2-0-0-1, True, tested images: 13, cex=False, ncex=1, covered=161, not_covered=8, d=0.0364177927854, 6:6-6
1-0-6-11: 2-0-0-1, True, tested images: 5, cex=False, ncex=1, covered=162, not_covered=8, d=0.0492331820619, 8:8-8
1-0-7-2: 2-0-0-1, True, tested images: 12, cex=False, ncex=1, covered=163, not_covered=8, d=0.0986228234832, 8:8-8
1-0-7-3: 2-0-0-1, True, tested images: 7, cex=False, ncex=1, covered=164, not_covered=8, d=0.00269427352323, 4:4-4
1-0-7-4: 2-0-0-1, True, tested images: 9, cex=False, ncex=1, covered=165, not_covered=8, d=0.0220225787914, 2:2-2
1-0-7-5: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=166, not_covered=8, d=0.00219460077535, 9:9-9
1-0-7-6: 2-0-0-1, True, tested images: 3, cex=False, ncex=1, covered=167, not_covered=8, d=0.110982623769, 0:0-0
1-0-7-7: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=168, not_covered=8, d=0.000927472930391, 6:6-6
1-0-7-8: 2-0-0-1, True, tested images: 18, cex=False, ncex=1, covered=169, not_covered=8, d=0.220184158841, 9:9-9
1-0-7-9: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=170, not_covered=8, d=0.154385654786, 5:5-5
1-0-7-10: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=171, not_covered=8, d=0.0642912058203, 2:2-2
1-0-7-11: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=172, not_covered=8, d=0.128652853882, 4:4-4
1-0-8-2: 2-0-0-1, True, tested images: 2, cex=False, ncex=1, covered=173, not_covered=8, d=0.0947442862543, 3:3-3
1-0-8-3: 2-0-0-1, True, tested images: 6, cex=False, ncex=1, covered=174, not_covered=8, d=0.041038262901, 4:4-4
1-0-8-4: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=175, not_covered=8, d=0.0550231622318, 9:9-9
1-0-8-5: 2-0-0-1, True, tested images: 3, cex=False, ncex=1, covered=176, not_covered=8, d=0.0138781602491, 0:0-0
1-0-8-6: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=177, not_covered=8, d=0.0590615570518, 3:3-3
1-0-8-7: 2-0-0-1, True, tested images: 7, cex=False, ncex=1, covered=178, not_covered=8, d=0.190421343818, 2:2-2
1-0-8-8: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=179, not_covered=8, d=0.234516685416, 4:4-4
1-0-8-9: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=180, not_covered=8, d=0.0348881679115, 1:1-1
1-0-8-10: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=181, not_covered=8, d=0.21384108482, 9:9-9
1-0-8-11: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=182, not_covered=8, d=0.00502814705601, 8:8-8
1-0-9-2: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=183, not_covered=8, d=0.212039833297, 4:4-4
1-0-9-3: 2-0-0-1, True, tested images: 2, cex=False, ncex=1, covered=184, not_covered=8, d=0.0402220133937, 7:7-7
1-0-9-4: 2-0-0-1, True, tested images: 12, cex=False, ncex=1, covered=185, not_covered=8, d=0.0819327188017, 2:2-2
1-0-9-5: 2-0-0-1, True, tested images: 13, cex=False, ncex=1, covered=186, not_covered=8, d=0.0249914755205, 9:9-9
1-0-9-6: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=187, not_covered=8, d=0.154335853281, 3:3-3
1-0-9-7: 2-0-0-1, True, tested images: 1, cex=False, ncex=1, covered=188, not_covered=8, d=0.0630443955531, 6:6-6
1-0-9-8: 2-0-0-1, True, tested images: 3, cex=False, ncex=1, covered=189, not_covered=8, d=0.0876571588537, 2:2-2
1-0-9-9: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=190, not_covered=8, d=0.258169803159, 9:9-9
1-0-9-10: 2-0-0-1, True, tested images: 0, cex=False, ncex=1, covered=191, not_covered=8, d=0.0396694659637, 6:6-6
1-0-9-11: 2-0-0-1, True, tested images: 4, cex=False, ncex=1, covered=192, not_covered=8, d=0.0003668249237, 6:6-6
1-0-0-4: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=193, not_covered=8, d=0.106244969055, 0:0-0
1-0-0-5: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=194, not_covered=8, d=0.104594911965, 5:5-5
1-0-0-6: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=195, not_covered=8, d=0.101267721673, 8:8-8
1-0-0-7: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=196, not_covered=8, d=0.0999846272527, 5:5-5
1-0-0-8: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=197, not_covered=8, d=0.10371266419, 2:2-2
1-0-0-9: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=198, not_covered=8, d=0.081049966606, 4:4-4
1-0-0-10: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=199, not_covered=8, d=0.0144265115367, 2:2-2
1-0-0-11: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=200, not_covered=8, d=0.166072943207, 1:1-1
1-0-0-12: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=201, not_covered=8, d=0.0756505929985, 4:4-4
1-0-0-13: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=202, not_covered=8, d=0.0748654363083, 7:7-7
1-0-1-4: 2-0-0-2, True, tested images: 5, cex=False, ncex=1, covered=203, not_covered=8, d=0.0680898049436, 0:0-0
1-0-1-5: 2-0-0-2, True, tested images: 0, cex=False, ncex=1, covered=204, not_covered=8, d=0.00176352735138, 3:3-3
1-0-1-6: 2-0-0-2, True, tested images: 2, cex=False, ncex=1, covered=205, not_covered=8, d=0.0958132226234, 6:6-6
