I-J-K: 1-1-38, True, tested images: 0, ncex=12, covered=94, not_covered=0, d=0.114711254062, 7:7-7
I-J-K: 1-1-39, True, tested images: 0, ncex=12, covered=95, not_covered=0, d=0.0547319324018, 7:7-7
I-J-K: 1-1-40, True, tested images: 0, ncex=12, covered=96, not_covered=0, d=0.0248271300402, 0:0-0
I-J-K: 1-1-41, True, tested images: 0, ncex=12, covered=97, not_covered=0, d=0.0437865756269, 7:7-7
I-J-K: 1-1-42, True, tested images: 0, ncex=13, covered=98, not_covered=0, d=0.0726202969088, 1:8-1
I-J-K: 1-1-43, True, tested images: 0, ncex=13, covered=99, not_covered=0, d=0.0419456626298, 3:3-3
I-J-K: 1-1-44, True, tested images: 0, ncex=14, covered=100, not_covered=0, d=0.0620562111056, 1:1-8
I-J-K: 1-1-45, True, tested images: 0, ncex=14, covered=101, not_covered=0, d=0.128342383046, 3:3-3
I-J-K: 1-1-46, True, tested images: 0, ncex=14, covered=102, not_covered=0, d=0.0547388453691, 2:2-2
I-J-K: 1-1-47, True, tested images: 0, ncex=14, covered=103, not_covered=0, d=0.0151524561875, 9:9-9
I-J-K: 1-1-48, True, tested images: 0, ncex=14, covered=104, not_covered=0, d=0.104789837078, 0:0-0
I-J-K: 1-1-49, True, tested images: 0, ncex=14, covered=105, not_covered=0, d=0.0208402278262, 3:3-3
I-J-K: 1-1-50, True, tested images: 0, ncex=15, covered=106, not_covered=0, d=0.121230262205, 2:2-8
I-J-K: 1-1-51, True, tested images: 0, ncex=15, covered=107, not_covered=0, d=0.100931963556, 4:4-4
I-J-K: 1-1-52, True, tested images: 0, ncex=15, covered=108, not_covered=0, d=0.113928454242, 2:2-2
I-J-K: 1-1-53, True, tested images: 0, ncex=15, covered=109, not_covered=0, d=0.0313852634151, 1:1-1
I-J-K: 1-1-54, True, tested images: 0, ncex=15, covered=110, not_covered=0, d=0.0707652366121, 1:1-1
I-J-K: 1-2-0, True, tested images: 0, ncex=15, covered=111, not_covered=0, d=0.0431930325565, 5:5-5
I-J-K: 1-2-1, True, tested images: 0, ncex=15, covered=112, not_covered=0, d=0.0661849257327, 8:8-8
I-J-K: 1-2-2, True, tested images: 0, ncex=15, covered=113, not_covered=0, d=0.0644333160076, 9:9-9
I-J-K: 1-2-3, True, tested images: 0, ncex=15, covered=114, not_covered=0, d=0.0578288396438, 8:8-8
I-J-K: 1-2-4, True, tested images: 0, ncex=15, covered=115, not_covered=0, d=0.0984580554232, 3:3-3
I-J-K: 1-2-5, True, tested images: 0, ncex=15, covered=116, not_covered=0, d=0.0915949868069, 2:2-2
I-J-K: 1-2-6, True, tested images: 0, ncex=15, covered=117, not_covered=0, d=0.0559766315744, 9:9-9
I-J-K: 1-2-7, True, tested images: 0, ncex=15, covered=118, not_covered=0, d=0.115435854701, 5:5-5
I-J-K: 1-2-8, True, tested images: 0, ncex=15, covered=119, not_covered=0, d=0.0209394174762, 5:5-5
I-J-K: 1-2-9, True, tested images: 0, ncex=15, covered=120, not_covered=0, d=0.110428965985, 7:7-7
I-J-K: 1-2-10, True, tested images: 0, ncex=15, covered=121, not_covered=0, d=0.0523106901681, 4:4-4
I-J-K: 1-2-11, True, tested images: 0, ncex=15, covered=122, not_covered=0, d=0.0259255061215, 8:8-8
I-J-K: 1-2-12, True, tested images: 0, ncex=15, covered=123, not_covered=0, d=0.0375213832733, 6:6-6
I-J-K: 1-2-13, True, tested images: 0, ncex=15, covered=124, not_covered=0, d=0.0676144482391, 2:2-2
I-J-K: 1-2-14, True, tested images: 0, ncex=15, covered=125, not_covered=0, d=0.0101087399083, 6:6-6
I-J-K: 1-2-15, True, tested images: 0, ncex=15, covered=126, not_covered=0, d=0.0668947718223, 4:4-4
I-J-K: 1-2-16, True, tested images: 0, ncex=16, covered=127, not_covered=0, d=0.131380162638, 2:2-1
I-J-K: 1-2-17, True, tested images: 0, ncex=16, covered=128, not_covered=0, d=0.0300102598155, 1:1-1
I-J-K: 1-2-18, True, tested images: 0, ncex=16, covered=129, not_covered=0, d=0.101650199497, 3:3-3
I-J-K: 1-2-19, True, tested images: 0, ncex=17, covered=130, not_covered=0, d=0.205411178799, 3:3-2
I-J-K: 1-2-20, True, tested images: 0, ncex=17, covered=131, not_covered=0, d=0.0671973865781, 0:0-0
I-J-K: 1-2-21, True, tested images: 0, ncex=17, covered=132, not_covered=0, d=0.0331538692165, 9:9-9
I-J-K: 1-2-22, True, tested images: 0, ncex=17, covered=133, not_covered=0, d=0.0943992880124, 5:5-5
I-J-K: 1-2-23, True, tested images: 0, ncex=17, covered=134, not_covered=0, d=0.0938250311351, 5:5-5
I-J-K: 1-2-24, True, tested images: 0, ncex=17, covered=135, not_covered=0, d=0.0222775481121, 1:1-1
I-J-K: 1-2-25, True, tested images: 0, ncex=17, covered=136, not_covered=0, d=0.12007634281, 2:2-2
I-J-K: 1-2-26, True, tested images: 0, ncex=17, covered=137, not_covered=0, d=0.00366071972934, 9:9-9
I-J-K: 1-2-27, True, tested images: 0, ncex=17, covered=138, not_covered=0, d=0.039471634142, 4:4-4
I-J-K: 1-2-28, True, tested images: 0, ncex=17, covered=139, not_covered=0, d=0.128171577351, 3:3-3
I-J-K: 1-2-29, True, tested images: 0, ncex=18, covered=140, not_covered=0, d=0.0568820573996, 0:2-6
I-J-K: 1-2-30, True, tested images: 0, ncex=18, covered=141, not_covered=0, d=0.0878084621862, 8:8-8
I-J-K: 1-2-31, True, tested images: 0, ncex=18, covered=142, not_covered=0, d=0.0955309368559, 8:8-8
I-J-K: 1-2-32, True, tested images: 0, ncex=18, covered=143, not_covered=0, d=0.0199518739384, 1:1-1
I-J-K: 1-2-33, True, tested images: 0, ncex=18, covered=144, not_covered=0, d=0.112559198307, 7:7-7
I-J-K: 1-2-34, True, tested images: 0, ncex=18, covered=145, not_covered=0, d=0.0482803541005, 1:1-1
I-J-K: 1-2-35, True, tested images: 0, ncex=18, covered=146, not_covered=0, d=0.0552421818225, 7:7-7
I-J-K: 1-2-36, True, tested images: 0, ncex=18, covered=147, not_covered=0, d=0.0651043477833, 3:3-3
I-J-K: 1-2-37, True, tested images: 0, ncex=18, covered=148, not_covered=0, d=0.0262606558276, 3:3-3
I-J-K: 1-2-38, True, tested images: 0, ncex=18, covered=149, not_covered=0, d=0.0426260441389, 6:6-6
I-J-K: 1-2-39, True, tested images: 0, ncex=18, covered=150, not_covered=0, d=0.057435382361, 3:3-3
I-J-K: 1-2-40, True, tested images: 0, ncex=18, covered=151, not_covered=0, d=0.130482466098, 0:0-0
I-J-K: 1-2-41, True, tested images: 0, ncex=18, covered=152, not_covered=0, d=0.113780473089, 2:2-2
I-J-K: 1-2-42, True, tested images: 0, ncex=18, covered=153, not_covered=0, d=0.0560259029086, 6:1-1
I-J-K: 1-2-43, True, tested images: 0, ncex=18, covered=154, not_covered=0, d=0.0320987251449, 9:4-4
I-J-K: 1-2-44, True, tested images: 0, ncex=18, covered=155, not_covered=0, d=0.0148205786412, 9:9-9
